,name,link,address,city,state,ratings,zipcode,1 BED,2 BEDS,3 BEDS,Studio,2+ BEDS,4 BEDS
47,Lakes Edge,https://www.rentcafe.com/apartments/nc/greensboro/lakes-edge/default.aspx,5644 W. Market St.,Greensboro,NC,3.50,27409,"$1,020+","$1,185+","$1,818+","$1,143+","$1,507+","$2,149"
48,4752 SHSQ B1,https://www.rentcafe.com/apartments/nc/wilmington/4752-shsq-b1-0/default.aspx,4752 SHSQ B1,Wilmington,NC,3.50,28403,$850,"$1,185+","$1,818+","$1,143+","$1,507+","$2,149"
49,Audubon Lake,https://www.rentcafe.com/apartments/nc/durham/audubon-lake-0/default.aspx,501 Audubon Lake Drive,Durham,NC,3.50,27713,"$1,166+","$1,624+","$1,857+","$1,143+","$1,507+","$2,149"
50,Carden Place Apartment Homes,https://www.rentcafe.com/apartments/nc/mebane/carden-place/default.aspx,"101 Carden Place,",Mebane,NC,3.50,27302,"$1,165+","$1,405+","$1,685+","$1,143+","$1,507+","$2,149"
51,The Timbers,https://www.rentcafe.com/apartments/nc/raleigh/the-timbers0/default.aspx,"5900 Timber Creek Lane,",Raleigh,NC,3.50,27612,"$1,179+","$1,396+","$1,685+","$1,143+","$1,507+","$2,149"
52,Dacian Road Quadraplex,https://www.rentcafe.com/apartments/nc/raleigh/dacian-road-quadraplex/default.aspx,"308 And 312 Dacian Road,",Raleigh,NC,3.50,27610,"$1,179+","$1,495","$1,685+","$1,143+","$1,507+","$2,149"
53,Parkside At South Tryon,https://www.rentcafe.com/apartments/nc/charlotte/parkside-at-south-tryon/default.aspx,"605 Candler Lane,",Charlotte,NC,3.50,28217,"$1,400+","$1,495+","$1,905+","$1,143+","$1,507+","$2,149"
54,697 Savanac St Se,https://www.rentcafe.com/apartments/nc/bolivia/697-savanac-st-se/default.aspx,"697 Savanac St Se,",Bolivia,NC,3.50,28422,"$1,400+","$1,495+","$1,949","$1,143+","$1,507+","$2,149"
55,118 HILLSDALE DRIVE,https://www.rentcafe.com/apartments/nc/wilmington/118-hillsdale-drive-0/default.aspx,"118 HILLSDALE DRIVE,",Wilmington,NC,3.50,28403,"$1,400+","$1,495+","$1,800","$1,143+","$1,507+","$2,149"
56,The Park At Ferentino,https://www.rentcafe.com/apartments/nc/charlotte/the-park-at-ferentino/default.aspx,"8061 Woodscape Dr.,",Charlotte,NC,3.50,28212,$926,Ask for pricing,"$1,800","$1,143+","$1,507+","$2,149"
57,SouthRidge Apartments And Townhomes,https://www.rentcafe.com/apartments/nc/arden/south-ridge-apartments/default.aspx,"160 Thoroughbred Cir,",Arden,NC,3.50,28704,Ask for pricing,"$1,745+","$1,995+","$1,143+","$1,507+","$2,149"
58,1521 Corbett Street,https://www.rentcafe.com/apartments/nc/wilmington/1521-corbett-street/default.aspx,"1521 Corbett Street,",Wilmington,NC,3.50,28401,Ask for pricing,"$1,745+","$2,299","$1,143+","$1,507+","$2,149"
59,The Fairways At Piper Glen Apartments,https://www.rentcafe.com/apartments/nc/charlotte/the-fairways-at-piper-glen-apartments/default.aspx,"6200 Birkdale Valley Drive,",Charlotte,NC,3.50,28277,"$1,345+","$1,570+","$1,865+","$1,143+","$1,507+","$2,149"
60,5701 Turtle Cove Court,https://www.rentcafe.com/apartments/nc/raleigh/5701-turtle-cove-court/default.aspx,"5701 Turtle Cove Court,",Raleigh,NC,3.50,27609,$960,"$1,570+","$1,865+","$1,143+","$1,507+","$2,149"
61,Mezzo 1 Luxury Apartments,https://www.rentcafe.com/apartments/nc/charlotte/mezzo-1-apartments/default.aspx,"130 Sharon Township Lane,",Charlotte,NC,3.50,28211,$960,"$1,570+","$1,865+","$1,379","$1,507+","$2,149"
62,"5021 Ryandale Rd Winston Salem, NC  27104",https://www.rentcafe.com/apartments/nc/winston-salem/5021-ryandale-rd-winston-salem-nc-27104/default.aspx,"5021 Ryandale Road,",Winston Salem,NC,3.50,27104,$960,"$1,570+","$1,200","$1,379","$1,507+","$2,149"
63,Clemmons Station Apartment Homes,https://www.rentcafe.com/apartments/nc/clemmons/clemmons-station-apartment-homes/default.aspx,"3405 Cook Place Dr,",Clemmons,NC,3.50,27012,"$1,030+","$1,235+","$1,490+","$1,379","$1,507+","$2,149"
64,The Line,https://www.rentcafe.com/apartments/nc/raleigh/the-line/default.aspx,"500 N West St,",Raleigh,NC,3.50,27603,"$1,885+","$1,235+","$1,490+","$1,594+","$2,533+","$2,149"
65,Inspire,https://www.rentcafe.com/apartments/nc/charlotte/inspire-0/default.aspx,"345 Sharon Township Lane,",Charlotte,NC,3.50,28211,"$1,785+","$1,235+","$1,490+","$1,595+","$2,280+","$2,149"
66,Randolph Park,https://www.rentcafe.com/apartments/nc/charlotte/randolph-park/default.aspx,"4536 Randolph Road, #52,",Charlotte,NC,3.50,28211,"$1,210+","$1,380+",Ask for pricing,"$1,595+","$2,280+","$2,149"
67,Amberwood At Lochmere,https://www.rentcafe.com/apartments/nc/cary/amberwood-at-lochmere0/default.aspx,"100 Eclipse Drive,",Cary,NC,3.50,27518,"$1,195+","$1,375+","$1,565+","$1,595+","$2,280+","$2,149"
68,Reserve At Kenton Place Apartment Homes,https://www.rentcafe.com/apartments/nc/cornelius/reserve-at-kenton-place-1/default.aspx,"17110 Kenton Dr,",Cornelius,NC,3.50,28031,"$1,375+","$1,945+",Ask for pricing,"$1,595+","$2,280+","$2,149"
69,The Junction At Ramsey And Carver,https://www.rentcafe.com/apartments/nc/fayetteville/the-junction-at-ramsey-carver0/default.aspx,"6271 Carver Oaks Dr.,",Fayetteville,NC,3.50,28311,"$1,040","$1,290",Ask for pricing,"$1,595+","$2,280+","$2,149"
70,Abberly Solaire Apartment Homes,https://www.rentcafe.com/apartments/nc/garner/abberly-solaire-apartment-homes/default.aspx,"1030 Element Circle,",Garner,NC,3.50,27529,"$1,450+","$1,756+",Ask for pricing,"$1,595+","$2,280+","$2,149"
71,Lake Ridge Apartments,https://www.rentcafe.com/apartments/nc/apex/lake-ridge-apartments1/default.aspx,"501 W Chatham St G-5,",Apex,NC,3.50,27502,Ask for pricing,"$1,525",Ask for pricing,"$1,595+","$2,280+","$2,149"
72,Redwood Charlotte Ridge Road,https://www.rentcafe.com/apartments/nc/charlotte/redwood-charlotte-ridge-road/default.aspx,"6110-A Gladiolus Lane,",Charlotte,NC,3.50,28269,Ask for pricing,"$1,799+",Ask for pricing,"$1,595+","$2,280+","$2,149"
73,One North Center,https://www.rentcafe.com/apartments/nc/hickory/one-north-center/default.aspx,"1 NORTH CENTER STREET,",HICKORY,NC,3.50,28601,Ask for pricing,"$1,799+",Ask for pricing,"$1,595+","$2,280+","$2,149"
74,504 Forest Ridge,https://www.rentcafe.com/apartments/nc/garner/504-forest-ridge-0/default.aspx,"504 Forest Ridge,",Garner,NC,3.50,27529,Ask for pricing,"$1,300",Ask for pricing,"$1,595+","$2,280+","$2,149"
75,6118 Hunter Ave,https://www.rentcafe.com/apartments/nc/charlotte/6118-hunter-ave/default.aspx,"6118 Hunter Ave,",Charlotte,NC,3.50,28262,Ask for pricing,"$1,300",Ask for pricing,"$1,595+","$2,280+","$2,149"
76,Loxley Chase Apartments,https://www.rentcafe.com/apartments/nc/winston-salem/loxley-chase-apartments/default.aspx,"3736 Kings Run,",Winston-Salem,NC,3.50,27106,$875,Ask for pricing,Ask for pricing,"$1,595+","$2,280+","$2,149"
77,The Guild,https://www.rentcafe.com/apartments/nc/pittsboro/the-guild0/default.aspx,"249 Mosaic Blvd,",Pittsboro,NC,3.50,27312,"$1,684+","$1,992+",Ask for pricing,"$1,595+","$2,280+","$2,149"
78,CamDew Apartments,https://www.rentcafe.com/apartments/nc/charlotte/camdew-apartments/default.aspx,"1601 Dewberry Terrace,",Charlotte,NC,3.50,28208,"$1,684+","$1,200","$1,380","$1,595+","$2,280+","$1,600"
79,6126 Hunter Ave,https://www.rentcafe.com/apartments/nc/charlotte/6126-hunter-ave/default.aspx,"6126 Hunter Ave,",Charlotte,NC,3.50,28262,"$1,684+","$1,200","$1,380","$1,595+","$2,280+","$2,149"
80,Woodbrook Apartments,https://www.rentcafe.com/apartments/nc/concord/woodbrook-williamsburg-apartments1/default.aspx,"1000 Woodbrook Pl NE,",Concord,NC,3.50,28025,"$1,250+","$1,050+","$1,550+","$1,595+","$2,280+","$2,149"
81,Highland Park At Northlake,https://www.rentcafe.com/apartments/nc/charlotte/highland-park-at-northlake/default.aspx,"7116 Finn Hall Avenue,",Charlotte,NC,3.50,28216,"$1,230+","$1,605+","$1,895+","$1,595+","$2,280+","$2,149"
82,Elevate White Oak,https://www.rentcafe.com/apartments/nc/garner/elevate-white-oak/default.aspx,"300 Hickory Trace Lane,",Garner,NC,3.50,27529,"$1,350+","$1,625+","$1,895+","$1,595+","$2,280+","$2,149"
83,The Edison Lofts Apartments,https://www.rentcafe.com/apartments/nc/raleigh/the-edison-lofts-apartments/default.aspx,"131 East Davie Street,",Raleigh,NC,3.50,27601,"$1,575+","$2,430+","$1,895+","$1,470+","$2,280+","$2,149"
84,Bexley Square At Concord Mills,https://www.rentcafe.com/apartments/nc/concord/bexley-square-at-concord-mills/default.aspx,"50 Lily Green Court NW,",Concord,NC,3.50,28027,"$1,299+","$1,430+",Ask for pricing,"$1,470+","$2,280+","$2,149"
85,One305 Central,https://www.rentcafe.com/apartments/nc/charlotte/one305-central/default.aspx,"1305 Central Avenue,",Charlotte,NC,3.50,28205,"$1,361+","$1,852+",Ask for pricing,"$1,773+","$2,280+","$2,149"
86,Alta Purl,https://www.rentcafe.com/apartments/nc/charlotte/alta-purl1/default.aspx,"1018 N Caldwell St,",Charlotte,NC,3.50,28206,"$1,648+","$2,153","$2,693+","$1,773+","$2,280+","$2,149"
87,Sharon Pointe Apartment Homes,https://www.rentcafe.com/apartments/nc/charlotte/sharon-pointe-apartment-homes/default.aspx,"5626 Sharon Pointe Rd,",Charlotte,NC,3.50,28215,"$1,035+","$1,360+","$1,615+","$1,773+","$2,280+","$2,149"
88,Hawthorne At The Pointe,https://www.rentcafe.com/apartments/nc/wilmington/hawthorne-at-the-pointe/default.aspx,"3215 Midvale Dr.,",Wilmington,NC,3.50,28412,"$1,575+","$2,006+",Ask for pricing,"$1,773+","$2,280+","$2,149"
89,Mill Creek,https://www.rentcafe.com/apartments/nc/wilmington/mill-creek6/default.aspx,"414 Mill Creek Court,",Wilmington,NC,3.50,28403,Ask for pricing,"$1,511+","$1,760+","$1,773+","$2,280+","$2,149"
90,The Madison At Adams Farm,https://www.rentcafe.com/apartments/nc/greensboro/the-madison-at-adams-farm/default.aspx,"5202 Fox Hunt Drive,",Greensboro,NC,3.50,27407,$940,"$1,090","$1,250","$1,773+","$2,280+","$2,149"
91,Main Street Square,https://www.rentcafe.com/apartments/nc/holly-springs/main-street-square/default.aspx,"1001 Hayes Lane Suite 103,",Holly Springs,NC,3.50,27540,"$1,299+","$1,549+","$1,870+","$1,773+","$2,280+","$2,149"
92,Southpoint Crossing,https://www.rentcafe.com/apartments/nc/durham/southpoint-crossing/default.aspx,"1800 Southpoint Crossing Drive,",Durham,NC,3.50,27713,"$1,727+","$1,408+","$1,818+","$1,773+","$2,280+","$2,149"
93,Creekside Landing,https://www.rentcafe.com/apartments/nc/durham/creekside-landing/default.aspx,"18 Weather Hill Circle,",Durham,NC,3.50,27705,"$1,187+","$1,360+","$1,818+","$1,773+","$2,280+","$2,149"
94,Blu At Northline,https://www.rentcafe.com/apartments/nc/charlotte/blu-at-norhtline/default.aspx,"2508 April Liu Ln.,",Charlotte,NC,3.50,28213,"$1,450+","$1,360+","$1,818+","$1,226+","$1,492+","$2,149"
95,Clarion Crossing,https://www.rentcafe.com/apartments/nc/raleigh/clarion-crossing/default.aspx,"1141 Crab Orchard Drive,",Raleigh,NC,3.50,27606,"$1,352+","$1,360+","$1,818+","$1,143+","$1,507+","$2,149"
96,West Park,https://www.rentcafe.com/apartments/nc/fayetteville/west-park/default.aspx,"5600 Fountain Grove Circle,",Fayetteville,NC,3.50,28304,"$1,005","$1,180","$1,818+","$1,143+","$1,507+","$2,149"
97,Lakes Edge,https://www.rentcafe.com/apartments/nc/greensboro/lakes-edge/default.aspx,"5644 W. Market St.,",Greensboro,NC,3.50,27409,"$1,020+","$1,185+","$1,818+","$1,143+","$1,507+","$2,149"
98,4752 SHSQ B1,https://www.rentcafe.com/apartments/nc/wilmington/4752-shsq-b1-0/default.aspx,"4752 SHSQ B1,",Wilmington,NC,3.50,28403,$850,"$1,185+","$1,818+","$1,143+","$1,507+","$2,149"
99,Audubon Lake,https://www.rentcafe.com/apartments/nc/durham/audubon-lake-0/default.aspx,"501 Audubon Lake Drive,",Durham,NC,3.50,27713,"$1,166+","$1,624+","$1,857+","$1,143+","$1,507+","$2,149"
